Well,Fluor,Target,Content,Sample,Cq,SQ,"**Wells were also used for a separate experiment, or were done following a different protocol. Labels indicates which measurements were made for this analysis."
O22,SYBR,,Unkn,,NaN,NaN,
O23,SYBR,,Unkn,,NaN,NaN,
O24,SYBR,,Unkn,,NaN,NaN,
P01,SYBR,,Unkn,,NaN,NaN,
P02,SYBR,,Unkn,,NaN,NaN,
P03,SYBR,,Unkn,,NaN,NaN,
P04,SYBR,,Unkn,,NaN,NaN,
P05,SYBR,,Unkn,,NaN,NaN,
P06,SYBR,,Unkn,,NaN,NaN,
P07,SYBR,,Unkn,,NaN,NaN,
P08,SYBR,,Unkn,,NaN,NaN,
P09,SYBR,,Unkn,,NaN,NaN,
P10,SYBR,,Unkn,,NaN,NaN,
P11,SYBR,,Unkn,,NaN,NaN,
P12,SYBR,,Unkn,,NaN,NaN,
P13,SYBR,,Unkn,,NaN,NaN,
P14,SYBR,,Unkn,,NaN,NaN,
P15,SYBR,,Unkn,,NaN,NaN,
P16,SYBR,,Unkn,,NaN,NaN,
P17,SYBR,,Unkn,,NaN,NaN,
P18,SYBR,,Unkn,,NaN,NaN,
P19,SYBR,,Unkn,,NaN,NaN,
P20,SYBR,,Unkn,,NaN,NaN,
P21,SYBR,,Unkn,,NaN,NaN,
P22,SYBR,,Unkn,,NaN,NaN,
P23,SYBR,,Unkn,,NaN,NaN,
P24,SYBR,,Unkn,,NaN,NaN,
